player_type,main_genre,recommendations,windows,mac,linux
Single_player,Strategy,0.0,True,False,False
Single_player,Strategy,187.0,True,False,False
Multi_player,Strategy,309.0,True,False,False
Single_player,Casual,0.0,True,False,False
Multi_player,Action,6181.0,True,False,True
Multi_player,Action,5792.0,True,False,False
Single_player,Adventure,579.0,True,True,False
Multi_player,Action,4928.0,True,True,False
Multi_player,Action,1867.0,True,True,False
Single_player,Adventure,576.0,True,True,False
Multi_player,Action,27043.0,True,False,False
Multi_player,Action,275.0,True,False,False
Single_player,Action,124.0,True,False,False
Single_player,Action,1130.0,True,True,True
Single_player,Strategy,1053.0,True,False,False
Single_player,Strategy,106.0,True,False,False
Multi_player,Racing,1871.0,True,False,False
Multi_player,Action,508.0,True,False,False
Multi_player,Racing,141.0,True,False,False
Single_player,Adventure,608.0,True,False,False
Single_player,Action,1056.0,True,False,False
Multi_player,Action,0.0,True,False,False
Multi_player,Action,0.0,True,False,False
Multi_player,Strategy,516.0,True,False,False
Multi_player,Action,552.0,True,False,False
Single_player,Action,2034.0,True,False,False
Single_player,Casual,0.0,True,False,False
Multi_player,Action,1502.0,True,False,False
Multi_player,Action,408.0,True,False,False
Multi_player,Action,1334.0,True,False,False
Multi_player,Action,582.0,True,False,False
Single_player,Action,1163.0,True,False,False
Single_player,Action,5247.0,True,False,False
Single_player,Action,354.0,True,False,False
Single_player,Action,2069.0,True,False,False
Single_player,Action,1270.0,True,False,False
Multi_player,Action,5591.0,True,False,False
Single_player,Action,926.0,True,False,False
Single_player,Action,1201.0,True,False,False
Single_player,Action,1644.0,True,False,False
Multi_player,Action,217.0,True,False,False
Multi_player,Action,236.0,True,False,False
Single_player,RPG,1003.0,True,False,False
Multi_player,Racing,847.0,True,False,False
Single_player,Adventure,264.0,True,False,False
Single_player,Adventure,127.0,True,False,False
Multi_player,RPG,112.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Action,891.0,True,True,True
Multi_player,RPG,2982.0,True,True,False
Single_player,Strategy,229.0,True,True,False
Multi_player,Strategy,1151.0,True,True,False
Multi_player,Strategy,444.0,True,False,False
Single_player,Strategy,486.0,True,False,False
Single_player,Strategy,329.0,True,False,False
Single_player,Strategy,417.0,True,False,False
Single_player,Action,15584.0,True,False,False
Multi_player,Strategy,0.0,True,False,False
Single_player,Strategy,1749.0,True,False,False
Multi_player,Strategy,185.0,True,False,False
Multi_player,Strategy,1623.0,True,False,False
Single_player,Racing,0.0,True,False,False
Multi_player,Action,531.0,True,False,False
Multi_player,Action,7444.0,True,True,False
Single_player,Action,2032.0,True,False,False
Multi_player,Action,1471.0,True,False,False
Single_player,Action,162.0,True,False,False
Single_player,Action,2034.0,True,False,False
Multi_player,Action,1390.0,True,False,False
Single_player,Action,28017.0,True,False,False
Single_player,Action,271.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Adventure,0.0,True,True,False
Single_player,Adventure,0.0,True,True,False
Single_player,Adventure,0.0,True,True,False
Single_player,Adventure,0.0,True,True,False
Single_player,Adventure,0.0,True,True,False
Single_player,Adventure,0.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Adventure,173.0,True,True,False
,Adventure,0.0,True,False,False
,Adventure,0.0,True,False,False
,Adventure,0.0,True,False,False
,Adventure,0.0,True,False,False
Single_player,Casual,578.0,True,False,False
Multi_player,Action,5617.0,True,True,False
Multi_player,Racing,774.0,True,False,False
Multi_player,Racing,135.0,True,False,False
Single_player,Strategy,1032.0,True,True,False
Multi_player,Action,7068.0,True,True,False
Single_player,Action,58633.0,True,True,True
Multi_player,RPG,273.0,True,False,False
Multi_player,RPG,114.0,True,False,False
Multi_player,Strategy,83686.0,True,True,True
Single_player,,0.0,True,False,False
Multi_player,Action,16187.0,True,False,False
Single_player,Action,220.0,True,False,False
Multi_player,Action,2921.0,True,False,False
Multi_player,Action,136.0,True,False,False
Multi_player,Action,191.0,True,False,False
Multi_player,Action,2617.0,True,False,False
Multi_player,Action,193.0,True,False,False
Single_player,Action,309.0,True,False,False
Single_player,Action,717.0,True,False,False
Multi_player,Action,8045.0,True,False,False
Multi_player,Strategy,514.0,True,False,False
Multi_player,Action,390.0,True,False,False
Multi_player,Strategy,760.0,True,False,False
Multi_player,Strategy,3096.0,True,False,False
Multi_player,Strategy,3741.0,True,False,False
Single_player,Action,512.0,True,False,False
Single_player,Action,5839.0,True,False,True
Multi_player,,103.0,True,True,False
Single_player,Action,0.0,True,False,False
Single_player,Simulation,121.0,True,False,False
Multi_player,Action,177.0,True,False,False
Single_player,Action,447.0,True,False,False
Multi_player,Strategy,108.0,True,False,False
Multi_player,RPG,147.0,True,False,False
Multi_player,RPG,566.0,True,False,False
Single_player,Action,740.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Multi_player,Action,17267.0,True,False,False
Single_player,Adventure,119.0,True,False,False
Single_player,Adventure,138.0,True,False,False
Single_player,Action,0.0,True,False,False
Multi_player,Action,663.0,True,False,False
Single_player,Sports,0.0,True,False,False
Single_player,Action,4051.0,True,False,False
Multi_player,Action,14449.0,True,True,False
Single_player,Action,1283.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Multi_player,Simulation,0.0,True,False,False
Multi_player,Simulation,0.0,True,False,False
Multi_player,RPG,533.0,True,False,False
Multi_player,Action,0.0,True,False,False
Multi_player,Strategy,8216.0,True,True,True
Multi_player,Sports,0.0,True,False,False
Multi_player,Action,7147.0,True,False,False
Multi_player,Racing,197.0,True,False,False
Single_player,Adventure,120.0,True,False,False
Single_player,Adventure,105.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Single_player,Adventure,182.0,True,False,False
Single_player,Adventure,118.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Adventure,338.0,True,False,False
Single_player,Action,408.0,True,True,False
Multi_player,Casual,317.0,True,False,False
Multi_player,Action,418.0,True,False,False
Multi_player,Strategy,0.0,True,False,False
Multi_player,Strategy,116.0,True,False,False
Multi_player,Action,544.0,True,True,False
Single_player,Casual,480.0,True,False,False
